entity_type,entity_id,entity_name,subject,grade,year,n_tested,pct_proficient,pct_level1,pct_level2,pct_level3,pct_level4,n_level1,n_level2,n_level3,n_level4,pct_basis,status,counts_status
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,ELA,ALL,2024,975.0,44.8,18.2,37.0,32.0,12.8,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,ELA,ALL,2025,964.0,46.3,18.4,35.4,30.4,15.9,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,ELA,ALL,2026,975.0,46.5641,17.9487,35.4872,30.5641,16.0,175,346,298,156,counts,,
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,ELA,03,2024,124.0,53.3,21.8,25.0,32.3,21.0,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,ELA,03,2025,101.0,46.5,23.8,29.7,28.7,17.8,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,ELA,03,2026,126.0,44.4444,15.0794,40.4762,29.3651,15.0794,19,51,37,19,counts,,
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,ELA,04,2024,102.0,48.0,18.6,33.3,34.3,13.7,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,ELA,04,2025,121.0,56.2,16.5,27.3,33.9,22.3,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,ELA,04,2026,109.0,43.1193,19.2661,37.6147,31.1927,11.9266,21,41,34,13,counts,,
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,ELA,05,2024,126.0,43.6,17.5,38.9,32.5,11.1,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,ELA,05,2025,108.0,50.9,13.0,36.1,25.9,25.0,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,ELA,05,2026,115.0,55.6522,12.1739,32.1739,30.4348,25.2174,14,37,35,29,counts,,
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,ELA,06,2024,110.0,52.7,20.9,26.4,33.6,19.1,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,ELA,06,2025,132.0,45.5,20.5,34.1,31.1,14.4,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,ELA,06,2026,107.0,59.8131,15.8879,24.2991,32.7103,27.1028,17,26,35,29,counts,,
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,ELA,07,2024,141.0,39.7,20.6,39.7,29.8,9.9,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,ELA,07,2025,116.0,48.2,17.2,34.5,31.0,17.2,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,ELA,07,2026,138.0,44.9275,20.2899,34.7826,26.8116,18.1159,28,48,37,25,counts,,
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,ELA,08,2024,141.0,39.7,19.1,41.1,26.2,13.5,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,ELA,08,2025,137.0,44.5,21.2,34.3,33.6,10.9,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,ELA,08,2026,109.0,45.8716,14.6789,39.4495,32.1101,13.7615,16,43,35,15,counts,,
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,ELA,09,2024,111.0,41.4,9.9,48.6,35.1,6.3,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,ELA,09,2025,136.0,36.1,17.6,46.3,24.3,11.8,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,ELA,09,2026,141.0,34.8,29.1,36.2,28.4,6.4,,,,,published_pct,,counts_suppressed
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,ELA,10,2024,120.0,42.5,15.8,41.7,34.2,8.3,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,ELA,10,2025,113.0,44.2,16.8,38.9,34.5,9.7,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,ELA,10,2026,130.0,47.6923,14.6154,37.6923,34.6154,13.0769,19,49,45,17,counts,,
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,Reading,ALL,2024,976.0,44.8,17.9,37.3,32.4,12.4,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,Reading,ALL,2025,964.0,46.4,19.5,34.1,30.8,15.6,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,Reading,ALL,2026,975.0,46.1538,19.4872,34.359,28.9231,17.2308,190,335,282,168,counts,,
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,Reading,03,2024,124.0,54.1,18.5,27.4,33.1,21.0,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,Reading,03,2025,101.0,47.5,22.8,29.7,27.7,19.8,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,Reading,03,2026,126.0,42.8571,19.0476,38.0952,27.7778,15.0794,24,48,35,19,counts,,
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,Reading,04,2024,103.0,44.7,18.4,36.9,34.0,10.7,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,Reading,04,2025,121.0,55.4,19.8,24.8,33.9,21.5,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,Reading,04,2026,109.0,44.9541,22.9358,32.1101,29.3578,15.5963,25,35,32,17,counts,,
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,Reading,05,2024,126.0,44.4,16.7,38.9,31.7,12.7,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,Reading,05,2025,108.0,51.8,13.9,34.3,29.6,22.2,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,Reading,05,2026,115.0,58.2609,15.6522,26.087,31.3043,26.9565,18,30,36,31,counts,,
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,Reading,06,2024,110.0,49.1,20.9,30.0,30.0,19.1,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,Reading,06,2025,132.0,43.2,22.0,34.8,32.6,10.6,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,Reading,06,2026,107.0,51.4019,15.8879,32.7103,24.2991,27.1028,17,35,26,29,counts,,
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,Reading,07,2024,141.0,37.6,22.0,40.4,28.4,9.2,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,Reading,07,2025,116.0,44.0,21.6,34.5,27.6,16.4,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,Reading,07,2026,138.0,44.2029,23.1884,32.6087,28.9855,15.2174,32,45,40,21,counts,,
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,Reading,08,2024,141.0,41.1,19.9,39.0,29.8,11.3,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,Reading,08,2025,137.0,43.8,19.7,36.5,31.4,12.4,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,Reading,08,2026,109.0,46.789,12.844,40.367,28.4404,18.3486,14,44,31,20,counts,,
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,Reading,09,2024,111.0,45.0,10.8,44.1,38.7,6.3,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,Reading,09,2025,136.0,38.3,14.7,47.1,26.5,11.8,,,,,published_pct,,counts_not_published
district,1202000,HEBER SPRINGS SCHOOL DISTRICT,Reading,09,2026,141.0,37.5887,28.3688,34.0426,24.8227,12.766,40,48,35,18,counts,,
