entity_type,entity_id,entity_name,subject,grade,year,n_tested,pct_proficient,pct_level1,pct_level2,pct_level3,pct_level4,n_level1,n_level2,n_level3,n_level4,pct_basis,status,counts_status
school,2301004,CARL STUART MIDDLE SCHOOL,ELA,ALL,2024,732.0,47.9,13.8,38.3,28.0,19.9,,,,,published_pct,,counts_not_published
school,2301004,CARL STUART MIDDLE SCHOOL,ELA,ALL,2025,737.0,51.4,14.0,34.6,29.7,21.7,,,,,published_pct,,counts_not_published
school,2301004,CARL STUART MIDDLE SCHOOL,ELA,ALL,2026,729.0,51.7147,18.107,30.1783,31.8244,19.8903,132,220,232,145,counts,,
school,2301004,CARL STUART MIDDLE SCHOOL,ELA,05,2024,259.0,50.9,16.6,32.4,27.0,23.9,,,,,published_pct,,counts_not_published
school,2301004,CARL STUART MIDDLE SCHOOL,ELA,05,2025,247.0,51.8,14.2,34.0,26.7,25.1,,,,,published_pct,,counts_not_published
school,2301004,CARL STUART MIDDLE SCHOOL,ELA,05,2026,226.0,53.0973,17.2566,29.646,30.9735,22.1239,39,67,70,50,counts,,
school,2301004,CARL STUART MIDDLE SCHOOL,ELA,06,2024,236.0,50.0,8.9,41.1,29.7,20.3,,,,,published_pct,,counts_not_published
school,2301004,CARL STUART MIDDLE SCHOOL,ELA,06,2025,256.0,53.9,13.3,32.8,34.0,19.9,,,,,published_pct,,counts_not_published
school,2301004,CARL STUART MIDDLE SCHOOL,ELA,06,2026,240.0,53.3333,16.6667,30.0,32.5,20.8333,40,72,78,50,counts,,
school,2301004,CARL STUART MIDDLE SCHOOL,ELA,07,2024,237.0,42.6,15.6,41.8,27.4,15.2,,,,,published_pct,,counts_not_published
school,2301004,CARL STUART MIDDLE SCHOOL,ELA,07,2025,234.0,48.3,14.5,37.2,28.2,20.1,,,,,published_pct,,counts_not_published
school,2301004,CARL STUART MIDDLE SCHOOL,ELA,07,2026,263.0,49.0494,20.1521,30.7985,31.9392,17.1103,53,81,84,45,counts,,
school,2301004,CARL STUART MIDDLE SCHOOL,Reading,ALL,2024,732.0,46.1,15.7,38.3,26.4,19.7,,,,,published_pct,,counts_not_published
school,2301004,CARL STUART MIDDLE SCHOOL,Reading,ALL,2025,738.0,48.7,19.1,32.2,27.8,20.9,,,,,published_pct,,counts_not_published
school,2301004,CARL STUART MIDDLE SCHOOL,Reading,ALL,2026,729.0,47.7366,19.7531,32.5103,27.8464,19.8903,144,237,203,145,counts,,
school,2301004,CARL STUART MIDDLE SCHOOL,Reading,05,2024,259.0,49.4,16.2,34.4,26.6,22.8,,,,,published_pct,,counts_not_published
school,2301004,CARL STUART MIDDLE SCHOOL,Reading,05,2025,247.0,47.8,19.8,32.4,24.3,23.5,,,,,published_pct,,counts_not_published
school,2301004,CARL STUART MIDDLE SCHOOL,Reading,05,2026,226.0,45.5752,23.4513,30.9735,26.5487,19.0265,53,70,60,43,counts,,
school,2301004,CARL STUART MIDDLE SCHOOL,Reading,06,2024,236.0,47.5,12.7,39.8,26.3,21.2,,,,,published_pct,,counts_not_published
school,2301004,CARL STUART MIDDLE SCHOOL,Reading,06,2025,257.0,50.6,17.5,31.9,31.5,19.1,,,,,published_pct,,counts_not_published
school,2301004,CARL STUART MIDDLE SCHOOL,Reading,06,2026,240.0,49.1667,17.5,33.3333,29.5833,19.5833,42,80,71,47,counts,,
school,2301004,CARL STUART MIDDLE SCHOOL,Reading,07,2024,237.0,41.0,18.1,40.9,26.2,14.8,,,,,published_pct,,counts_not_published
school,2301004,CARL STUART MIDDLE SCHOOL,Reading,07,2025,234.0,47.5,20.1,32.5,27.4,20.1,,,,,published_pct,,counts_not_published
school,2301004,CARL STUART MIDDLE SCHOOL,Reading,07,2026,263.0,48.289,18.6312,33.0798,27.3764,20.9125,49,87,72,55,counts,,
school,2301004,CARL STUART MIDDLE SCHOOL,Math,ALL,2024,732.0,43.5,23.2,33.2,29.2,14.3,,,,,published_pct,,counts_not_published
school,2301004,CARL STUART MIDDLE SCHOOL,Math,ALL,2025,738.0,39.3,28.0,32.7,26.0,13.3,,,,,published_pct,,counts_not_published
school,2301004,CARL STUART MIDDLE SCHOOL,Math,ALL,2026,729.0,37.5857,29.3553,33.059,24.1427,13.4431,214,241,176,98,counts,,
school,2301004,CARL STUART MIDDLE SCHOOL,Math,05,2024,259.0,38.6,30.1,31.3,26.6,12.0,,,,,published_pct,,counts_not_published
school,2301004,CARL STUART MIDDLE SCHOOL,Math,05,2025,247.0,28.3,36.0,35.6,19.0,9.3,,,,,published_pct,,counts_not_published
school,2301004,CARL STUART MIDDLE SCHOOL,Math,05,2026,226.0,31.4159,31.8584,36.7257,22.1239,9.292,72,83,50,21,counts,,
school,2301004,CARL STUART MIDDLE SCHOOL,Math,06,2024,236.0,48.3,18.2,33.5,34.3,14.0,,,,,published_pct,,counts_not_published
school,2301004,CARL STUART MIDDLE SCHOOL,Math,06,2025,256.0,41.4,25.8,32.8,26.6,14.8,,,,,published_pct,,counts_not_published
school,2301004,CARL STUART MIDDLE SCHOOL,Math,06,2026,240.0,40.0,28.75,31.25,27.5,12.5,69,75,66,30,counts,,
school,2301004,CARL STUART MIDDLE SCHOOL,Math,07,2024,237.0,44.3,20.7,35.0,27.0,17.3,,,,,published_pct,,counts_not_published
school,2301004,CARL STUART MIDDLE SCHOOL,Math,07,2025,235.0,48.5,22.1,29.4,32.8,15.7,,,,,published_pct,,counts_not_published
school,2301004,CARL STUART MIDDLE SCHOOL,Math,07,2026,263.0,40.6844,27.7567,31.5589,22.8137,17.8707,73,83,60,47,counts,,
school,2301004,CARL STUART MIDDLE SCHOOL,Science,ALL,2024,732.0,50.5,14.1,35.5,30.1,20.4,,,,,published_pct,,counts_not_published
school,2301004,CARL STUART MIDDLE SCHOOL,Science,ALL,2025,737.0,52.0,17.6,30.4,27.4,24.6,,,,,published_pct,,counts_not_published
